aluno_id,escola_id,tempo_segundos
aluno_001,Escola_Passo_Pedras,1306
aluno_001,Escola_Central_B,1497
aluno_001,Escola_Zona_Leste,3566
aluno_001,Escola_Central_A,978
aluno_001,Escola_Morgado_Rosa,2363
aluno_002,Escola_Zona_Norte,3364
aluno_001,Escola_Menno_Fiege,2723
aluno_001,Escola_Zona_Norte,2257
aluno_002,Escola_Central_A,2087
aluno_001,Escola_Getulio_Vargas,1664
aluno_001,Escola_Industrial,955
aluno_001,Escola_Castro_Alves,3303
aluno_002,Escola_Castro_Alves,4182
aluno_002,Escola_Passo_Pedras,1268
aluno_002,Escola_Morgado_Rosa,3061
aluno_002,Escola_Industrial,1941
aluno_002,Escola_Zona_Leste,4675
aluno_002,Escola_Central_B,2606
aluno_002,Escola_Getulio_Vargas,2650
aluno_003,Escola_Menno_Fiege,1929
aluno_003,Escola_Central_B,1781
aluno_003,Escola_Zona_Leste,2983
aluno_003,Escola_Zona_Norte,985
aluno_003,Escola_Central_A,1499
aluno_002,Escola_Menno_Fiege,3832
aluno_003,Escola_Castro_Alves,2398
aluno_004,Escola_Menno_Fiege,2066
aluno_004,Escola_Central_B,1907
aluno_004,Escola_Zona_Norte,3364
aluno_004,Escola_Morgado_Rosa,1180
aluno_004,Escola_Central_A,2185
aluno_004,Escola_Industrial,1569
aluno_003,Escola_Morgado_Rosa,4266
aluno_004,Escola_Castro_Alves,4835
aluno_003,Escola_Industrial,2948
aluno_005,Escola_Central_B,2991
aluno_004,Escola_Getulio_Vargas,619
aluno_005,Escola_Central_A,2476
aluno_005,Escola_Menno_Fiege,4218
aluno_005,Escola_Morgado_Rosa,3624
aluno_003,Escola_Getulio_Vargas,3201
aluno_005,Escola_Zona_Norte,3744
aluno_005,Escola_Industrial,2503
aluno_003,Escola_Passo_Pedras,2130
aluno_006,Escola_Central_B,889
aluno_005,Escola_Zona_Leste,5060
aluno_006,Escola_Central_A,1141
aluno_005,Escola_Castro_Alves,3861
aluno_005,Escola_Passo_Pedras,947
aluno_004,Escola_Zona_Leste,2729
aluno_005,Escola_Getulio_Vargas,3213
aluno_006,Escola_Passo_Pedras,1954
aluno_006,Escola_Morgado_Rosa,1684
aluno_006,Escola_Industrial,308
aluno_006,Escola_Zona_Norte,2438
aluno_004,Escola_Passo_Pedras,3308
aluno_007,Escola_Central_A,2888
aluno_007,Escola_Central_B,2355
aluno_006,Escola_Zona_Leste,2955
aluno_007,Escola_Menno_Fiege,1506
aluno_007,Escola_Passo_Pedras,4259
aluno_007,Escola_Morgado_Rosa,3921
aluno_007,Escola_Zona_Norte,2621
aluno_007,Escola_Castro_Alves,4092
aluno_006,Escola_Getulio_Vargas,986
aluno_007,Escola_Getulio_Vargas,2432
aluno_007,Escola_Zona_Leste,598
aluno_008,Escola_Central_A,1640
aluno_006,Escola_Castro_Alves,3851
aluno_007,Escola_Industrial,3407
aluno_006,Escola_Menno_Fiege,2108
aluno_008,Escola_Central_B,1983
aluno_008,Escola_Menno_Fiege,2625
aluno_008,Escola_Morgado_Rosa,4285
aluno_008,Escola_Passo_Pedras,1640
aluno_008,Escola_Industrial,2912
aluno_009,Escola_Zona_Norte,1871
aluno_009,Escola_Passo_Pedras,1426
aluno_009,Escola_Central_A,573
